"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
123,"BIKF","large_airport","Keflavik International Airport",63.985,-22.6056,171,"EU","IS","IS-2","Reykjavík","yes","BIKF","KEF","","","http://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport","Keflavik Naval Air Station,REK"
125,"BIRK","medium_airport","Reykjavik Airport",64.13,-21.9406,48,"EU","IS","IS-1","Reykjavik","yes","BIRK","RKV","","","http://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport","REK"
126,"BISI","medium_airport","Siglufjörður Airport",66.1333,-18.9167,10,"EU","IS","IS-6","Siglufjörður","no","BISI","SIJ","","","https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport",""
128,"BIVM","medium_airport","Vestmannaeyjar Airport",63.4243,-20.2789,326,"EU","IS","IS-8","Vestmannaeyjar","no","BIVM","VEY","","","http://en.wikipedia.org/wiki/Vestmannaeyjar_Airport",""
517,"SSZW","medium_airport","Ponta Grossa Airport - Comandante Antonio Amilton Beraldo",-25.1847,-50.1441,2588,"SA","BR","BR-PR","Ponta Grossa","yes","SSZW","PGZ","SSZW","","https://pt.wikipedia.org/wiki/Aeroporto_de_Ponta_Grossa","Sant'ana Airport"
538,"SWGN","medium_airport","Araguaína Airport",-7.22787,-48.2405,771,"SA","BR","BR-TO","Araguaína","yes","SWGN","AUX","SWGN","","https://en.wikipedia.org/wiki/Aragua%C3%ADna_Airport",""
1652,"CYAC","medium_airport","Cat Lake Airport",51.7272,-91.8244,1344,"NA","CA","CA-ON","Cat Lake","yes","CYAC","YAC","","","http://en.wikipedia.org/wiki/Cat_Lake_Airport",""
1655,"CYAH","medium_airport","La Grande-4 Airport",53.7547,-73.6753,1005,"NA","CA","CA-QC","La Grande-4","no","CYAH","YAH","","","http://en.wikipedia.org/wiki/La_Grande-4_Airport","YAH"
1656,"CYAL","medium_airport","Alert Bay Airport",50.5822,-126.916,240,"NA","CA","CA-BC","Alert Bay","no","CYAL","YAL","","","http://en.wikipedia.org/wiki/Alert_Bay_Airport",""
1657,"CYAM","medium_airport","Sault Ste Marie Airport",46.485,-84.5094,630,"NA","CA","CA-ON","Sault Ste Marie","yes","CYAM","YAM","","http://www.saultairport.com/","http://en.wikipedia.org/wiki/Sault_Ste._Marie_Airport",""
1658,"CYAQ","medium_airport","Kasabonika Airport",53.5247,-88.6428,672,"NA","CA","CA-ON","Kasabonika","yes","CYAQ","XKS","","","http://en.wikipedia.org/wiki/Kasabonika_Airport","YAQ"
1659,"CYAS","medium_airport","Kangirsuk Airport",60.0272,-69.9992,403,"NA","CA","CA-QC","Kangirsuk","yes","CYAS","YKG","","","http://en.wikipedia.org/wiki/Kangirsuk_Airport","YAS"
1660,"CYAT","medium_airport","Attawapiskat Airport",52.9275,-82.4319,31,"NA","CA","CA-ON","Attawapiskat","yes","CYAT","YAT","","","http://en.wikipedia.org/wiki/Attawapiskat_Airport",""
1665,"CYAY","medium_airport","St. Anthony Airport",51.3919,-56.0831,108,"NA","CA","CA-NL","St. Anthony","yes","CYAY","YAY","","","http://en.wikipedia.org/wiki/St._Anthony_Airport",""
1666,"CYAZ","medium_airport","Tofino / Long Beach Airport",49.0798,-125.776,80,"NA","CA","CA-BC","Tofino","yes","CYAZ","YAZ","","http://www.acrd.bc.ca/long-beach-airport","http://en.wikipedia.org/wiki/Tofino_Airport",""
1668,"CYBB","medium_airport","Kugaaruk Airport",68.5344,-89.8081,56,"NA","CA","CA-NU","Kugaaruk","yes","CYBB","YBB","","","http://en.wikipedia.org/wiki/Kugaaruk_Airport","YBB, Pelly Bay Townsite Airport"
1669,"CYBC","medium_airport","Baie Comeau Airport",49.1325,-68.2044,71,"NA","CA","CA-QC","Baie-Comeau","yes","CYBC","YBC","","","http://en.wikipedia.org/wiki/Baie-Comeau_Airport",""
1670,"CYBD","medium_airport","Bella Coola Airport",52.3875,-126.596,117,"NA","CA","CA-BC","Bella Coola","yes","CYBD","QBC","","","http://en.wikipedia.org/wiki/Bella_Coola_Airport","YBD"
1671,"CYBE","medium_airport","Uranium City Airport",59.5614,-108.481,1044,"NA","CA","CA-SK","Uranium City","yes","CYBE","YBE","","","http://en.wikipedia.org/wiki/Uranium_City_Airport",""
1672,"CYBF","medium_airport","Bonnyville Airport",54.3042,-110.744,1836,"NA","CA","CA-AB","Bonnyville","yes","CYBF","YBY","","http://town.bonnyville.ab.ca/livingin/airport/index.html","http://en.wikipedia.org/wiki/Bonnyville_Airport","YBF"
1673,"CYBG","medium_airport","CFB Bagotville",48.3306,-70.9964,522,"NA","CA","CA-QC","Bagotville","yes","CYBG","YBG","","","http://en.wikipedia.org/wiki/CFB_Bagotville","Bagotville Airport"
1674,"CYBK","medium_airport","Baker Lake Airport",64.2989,-96.0778,59,"NA","CA","CA-NU","Baker Lake","yes","CYBK","YBK","","","http://en.wikipedia.org/wiki/Baker_Lake_Airport",""
1675,"CYBL","medium_airport","Campbell River Airport",49.9508,-125.271,346,"NA","CA","CA-BC","Campbell River","yes","CYBL","YBL","","","http://en.wikipedia.org/wiki/Campbell_River_Airport",""
1677,"CYBQ","medium_airport","Tadoule Lake Airport",58.7061,-98.5122,923,"NA","CA","CA-MB","Tadoule Lake","yes","CYBQ","XTL","","","http://en.wikipedia.org/wiki/Tadoule_Lake_Airport","YBQ"
1678,"CYBR","medium_airport","Brandon Municipal Airport",49.91,-99.9519,1343,"NA","CA","CA-MB","Brandon","yes","CYBR","YBR","","","http://en.wikipedia.org/wiki/Brandon_Airport",""
1679,"CYBT","medium_airport","Brochet Airport",57.8894,-101.679,1136,"NA","CA","CA-MB","Brochet","yes","CYBT","YBT","","","http://en.wikipedia.org/wiki/Brochet_Airport",""
1681,"CYBV","medium_airport","Berens River Airport",52.3589,-97.0183,728,"NA","CA","CA-MB","Berens River","yes","CYBV","YBV","","","http://en.wikipedia.org/wiki/Berens_River_Airport",""
1683,"CYBX","medium_airport","Lourdes de Blanc Sablon Airport",51.4436,-57.1853,121,"NA","CA","CA-QC","Lourdes-De-Blanc-Sablon","yes","CYBX","YBX","","","http://en.wikipedia.org/wiki/Lourdes-de-Blanc-Sablon_Airport",""
1684,"CYCA","medium_airport","Cartwright Airport",53.6828,-57.0419,40,"NA","CA","CA-NL","Cartwright","yes","CYCA","YRF","","","http://en.wikipedia.org/wiki/Cartwright_Airport","YCA"
1685,"CYCB","medium_airport","Cambridge Bay Airport",69.1081,-105.138,90,"NA","CA","CA-NU","Cambridge Bay","yes","CYCB","YCB","","","http://en.wikipedia.org/wiki/Cambridge_Bay_Airport",""
1686,"CYCC","medium_airport","Cornwall Regional Airport",45.0928,-74.5633,175,"NA","CA","CA-ON","Cornwall","no","CYCC","YCC","","","http://en.wikipedia.org/wiki/Cornwall_Regional_Airport",""
1687,"CYCD","medium_airport","Nanaimo Airport",49.055,-123.87,92,"NA","CA","CA-BC","Nanaimo","yes","CYCD","YCD","","","http://en.wikipedia.org/wiki/Nanaimo_Airport",""
1688,"CYCE","medium_airport","Centralia / James T. Field Memorial Aerodrome",43.2856,-81.5083,824,"NA","CA","CA-ON","Centralia","no","CYCE","YCE","CYCE","","http://en.wikipedia.org/wiki/Centralia/Huron_Airpark","RCAF Station Centralia, Huron Airpark"
